SuiRate,Unemp,Vet,Arrest,Mental,Disable,Uninsured,Poverty,uxa,uxm,uxd,uxv,uxu,vxa,vxm,vxd,vxu,axm,axd,axu,mxd,mxu,dxu,UnempOG,Unemp2,Unemp3,Unemp4,Unemp5,Unemp6,Unemp7,Unemp8,Unemp9,Unemp10,Unemp11,Unemp12,Unemp13,Unemp14
13.6,0.333333333,11.2,2562,4.06,16.2,14.3,19,854,1.353333333,5.4,3.733333333,4.766666667,28694.4,45.472,181.44,160.16,10401.72,41504.4,36636.6,65.772,58.058,231.66,9,0.954242509,81,3,0.111111111,2.197224577,729,2.080083823,0.012345679,-3.169925001,0.315464877,0.099518088,0.5616626,-0.477121255
15,0.353553391,11,2329.59,4.8,16.4,13.3,19,823.6344432,1.697056275,5.798275606,3.889087297,4.702260095,25625.49,52.8,180.4,146.3,11182.032,38205.276,30983.547,78.72,63.84,218.12,8,0.903089987,64,2.828427125,0.125,2.079441542,512,2,0.015625,-3,0.333333333,0.111111111,0.577350269,-0.451544993
14.9,0.372677996,10.6,2518,3.79,15.9,13.6,19,938.4031946,1.412449606,5.92558014,3.95038676,5.068420749,26690.8,40.174,168.54,144.16,9543.22,40036.2,34244.8,60.261,51.544,216.24,7.2,0.857332496,51.84,2.683281573,0.138888889,1.974081026,373.248,1.930978769,0.019290123,-2.847996907,0.351123977,0.123288047,0.592557151,-0.428666248
14.7,0.383482494,10.2,2139,4.53,16.3,12.1,18.7,820.2690556,1.7371757,6.250764659,3.911521443,4.640138183,21817.8,46.206,166.26,123.42,9689.67,34865.7,25881.9,73.839,54.813,197.23,6.8,0.832508913,46.24,2.607680962,0.147058824,1.916922612,314.432,1.894536474,0.021626298,-2.765534746,0.361593721,0.130750019,0.601326634,-0.416254456
15.4,0.404888165,9.8,3834,4.64,16.7,10.1,18.5,1552.341225,1.878681086,6.761632357,3.967904018,4.089370467,37573.2,45.472,163.66,98.98,17789.76,64027.8,38723.4,77.488,46.864,168.67,6.1,0.785329835,37.21,2.469817807,0.163934426,1.808288771,226.981,1.827160137,0.026874496,-2.608809243,0.383316643,0.146931648,0.619125708,-0.392664918
16.2,0.415227399,9.4,4064.64,4.23,16.5,9.1,17.1,1687.749896,1.756411899,6.851252088,3.903137553,3.778569333,38207.616,39.762,155.1,85.54,17193.4272,67066.56,36988.224,69.795,38.493,150.15,5.8,0.763427994,33.64,2.408318916,0.172413793,1.757857918,195.112,1.796701779,0.029726516,-2.5360529,0.394313541,0.155483169,0.6279439,-0.381713997
17.1,0.476731295,9.1,4101,5.75,16.5,9.4,14.1,1955.075039,2.741204944,7.866066361,4.338254781,4.481274169,37319.1,52.325,150.15,85.54,23580.75,67666.5,38549.4,94.875,54.05,155.1,4.4,0.643452676,19.36,2.097617696,0.227272727,1.481604541,85.184,1.638642541,0.051652893,-2.137503524,0.467835486,0.218870042,0.683985004,-0.321726338
19.8,0.362738125,14.5,5543,4.15,10.5,20.1,9.9,2010.657427,1.505363219,3.808750313,5.259702813,7.291036314,80373.5,60.175,152.25,291.45,23003.45,58201.5,111414.3,43.575,83.415,211.05,7.6,0.880813592,57.76,2.75680975,0.131578947,2.028148247,438.976,1.966095145,0.017313019,-2.925999419,0.341763568,0.116802336,0.58460548,-0.440406796
23,0.375293313,14.2,6385.81,5.02,11,20.5,10.5,2396.551788,1.883972429,4.128226438,5.329165038,7.693512907,90678.502,71.284,156.2,291.1,32056.7662,70243.91,130909.105,55.22,102.91,225.5,7.1,0.851258349,50.41,2.664582519,0.14084507,1.960094784,357.911,1.921997343,0.019837334,-2.827819025,0.353629419,0.125053766,0.594667486,-0.425629174
23.1,0.377964473,13.8,6242,4.32,11.1,18.5,10.1,2359.254241,1.632806523,4.19540565,5.215909728,6.992342751,86139.6,59.616,153.18,255.3,26965.44,69286.2,115477,47.952,79.92,205.35,7,0.84509804,49,2.645751311,0.142857143,1.945910149,343,1.912931183,0.020408163,-2.807354922,0.356207187,0.12688356,0.596830954,-0.42254902
22.7,0.380693494,13.4,5528,3.9,11.2,17.2,9.3,2104.473634,1.484704626,4.263767131,5.101292817,6.547928094,74075.2,52.26,150.08,230.48,21559.2,61913.6,95081.6,43.68,67.08,192.64,6.9,0.838849091,47.61,2.626785107,0.144927536,1.931521412,328.509,1.903778262,0.021003991,-2.786596362,0.358860728,0.128781022,0.599049855,-0.419424545
